Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Brar Frozen Foods,F&V,Commercial production started,14.8,7.07,7.07
India,ARUNACHAL PRADESH,TAWANG,"Calendar Year (Jan - Dec), 2021",Gangri Food Products,Meat,Reported completion of project,15.32,8.11,5.28
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Kalya Exports,F&V,65% progress,24.15,4.79,3.1
India,TELANGANA,MEDAK,"Calendar Year (Jan - Dec), 2021",Prasad Seeds Pvt. Ltd.,F&V,Commercial production started,30.82,9.72,9.72
India,PUNJAB,JALANDHAR,"Calendar Year (Jan - Dec), 2021",K.F. Milk Foods,Dairy,Commercial production started,26.83,3.83,3.83
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Freshtrop Fruits Ltd.,F&V,Commercial production started,32.75,8.47,8.47
India,UTTAR PRADESH,AGRA,"Calendar Year (Jan - Dec), 2021",Imperial Frozen Food,F&V,Commercial production started,9.93,3.6,3.6
India,ANDHRA PRADESH,EAST GODAVARI,"Calendar Year (Jan - Dec), 2021",Sandhya Aqua Exports Pvt Ltd.,Marine,65% progress,55.04,10,6.5
India,UTTARAKHAND,UDAM SINGH NAGAR,"Calendar Year (Jan - Dec), 2021",Shanti Frozen Foods,F&V,65% progress,17.54,10,6.5
India,WEST BENGAL,HOOGHLY,"Calendar Year (Jan - Dec), 2021",Ascon Agro Products Exporters & Builders Pvt. Ltd.,F&V,Commercial production started,21.27,6.44,6.44
India,MAHARASHTRA,RAIGAD,"Calendar Year (Jan - Dec), 2021",Saastha Warehousing Ltd,F&V,Commercial production started,42.81,9.21,9.21
India,UTTARAKHAND,HARIDWAR,"Calendar Year (Jan - Dec), 2021",Gupta Agro Products,F&V,Commercial production started,26.42,10,10
India,MAHARASHTRA,NASHIK,"Calendar Year (Jan - Dec), 2021",Healthy Foods,Dairy,65% progress,10.11,3.6,2.34
India,MAHARASHTRA,CHANDRAPUR,"Calendar Year (Jan - Dec), 2021",Swapnapurti Food Products Pvt. Ltd.,Dairy,Commercial production started,7.59,2.53,2.53
India,MADHYA PRADESH,JHABUA,"Calendar Year (Jan - Dec), 2021","Shree Uttam Food Products (India) Pvt. Ltd.,",F&V,Reported completion of project,32.25,10,7.5
